id,year,month,day,wekkday,hour,minute,lat,lon
410091,2004,5,18,3,10,40,47.65184722,-116.8458333
410092,2004,5,10,2,22,25,47.75230833,-116.9806278
410093,2004,5,12,4,18,55,43.50145556,-112.0286306
410094,2004,5,22,7,15,14,42.300575,-112.2094694
410095,2004,5,30,1,5,19,43.74055278,-114.3863667
410096,2004,5,29,7,1,43,43.5902,-116.3004
410097,2004,5,20,5,99,99,46.02459167,-115.9717111
410098,2004,5,24,2,9,27,46.40415833,-117.0077472
410099,2004,5,20,5,9,43,43.41653611,-116.0308417
410100,2004,6,1,3,9,0,42.96140556,-115.4899778
410101,2004,6,3,5,8,15,43.66303056,-116.4593194
410102,2004,6,6,1,3,40,42.75264444,-112.87705
410103,2004,6,7,2,10,30,46.37245278,-116.6576083
410104,2004,6,9,4,17,5,47.19749167,-116.4801472
410105,2004,6,10,5,7,30,42.314025,-111.3306417
410106,2004,6,11,6,1,15,48.92795833,-116.3385889
410107,2004,6,13,1,2,20,43.53951389,-116.1305472
410108,2004,6,14,2,2,28,43.30311944,-115.9087333
410109,2004,6,6,1,22,50,42.15748056,-112.9893778
410110,2004,6,19,7,10,50,43.71001944,-116.6995694
410111,2004,6,19,7,16,28,46.51711944,-116.9492389
410112,2004,6,22,3,20,5,42.34505,-113.9117
410113,2004,6,25,6,14,37,46.71728333,-116.8047444
410114,2004,6,27,1,19,42,42.21590833,-113.8430361
410115,2004,6,25,6,13,3,43.60499167,-116.590225
410116,2004,6,28,2,22,2,43.48859444,-116.432425
410117,2004,6,26,7,2,10,42.54883611,-114.4600917
410118,2004,6,27,1,22,22,42.56924444,-113.5330333
410119,2004,6,29,3,20,0,46.84075,-115.6104611
410120,2004,6,19,7,22,10,42.605025,-113.7446806
410121,2004,7,6,3,0,39,43.59941389,-116.5147167
410122,2004,7,14,4,23,54,42.38415556,-111.3195167
410123,2004,7,8,5,14,10,43.99906389,-111.5701667
410124,2004,7,10,7,15,30,43.93448333,-111.6124944
410125,2004,7,15,5,10,50,44.32252778,-111.4312972
410126,2004,7,18,1,12,14,43.94163611,-111.7979528
410127,2004,7,6,3,13,58,43.48139167,-112.0239389
410128,2004,7,19,2,11,20,42.72390833,-114.4632917
410129,2004,7,19,2,23,0,43.03266667,-112.2784611
410130,2004,7,20,3,23,55,45.98834444,-116.3024111
410131,2004,7,21,4,4,1,47.69776389,-117.035825
410132,2004,7,22,5,14,50,46.31156944,-115.9644889
410133,2004,7,25,1,13,59,46.37200556,-116.7074056
410134,2004,7,25,1,8,50,42.93825278,-114.9681389
410135,2004,7,25,1,14,0,47.90949444,-116.7026917
410136,2004,7,25,1,19,11,43.66304722,-116.4802361
410137,2004,7,26,2,1,21,43.16851111,-112.3874833
410138,2004,7,2,6,11,55,43.62663611,-111.9039806
410139,2004,7,18,1,0,2,42.65350833,-112.2375028
410140,2004,7,23,6,0,29,43.44512778,-114.8035028
410141,2004,7,28,4,17,30,42.30576944,-111.7884056
410142,2004,7,29,5,16,33,43.96427778,-115.6279806
410143,2004,7,4,1,12,20,42.97046944,-115.1947861
410144,2004,7,18,1,14,40,46.26135,-116.6067361
410145,2004,7,29,5,12,2,44.04916667,-115.8376583
410146,2004,7,1,5,10,32,42.86869444,-112.4314472
410147,2004,7,2,6,11,1,42.95738611,-115.4789722
410148,2004,7,3,7,2,0,43.08131944,-112.6786722
410149,2004,7,14,4,16,29,43.56700556,-116.0358806
410150,2004,7,28,4,16,4,44.09010556,-116.0546861
410151,2004,7,18,1,0,38,48.19091667,-116.4270167
410152,2004,8,1,1,16,12,47.87095,-116.7397222
410153,2004,8,3,3,23,6,43.59836667,-116.4846861
410154,2004,8,4,4,5,32,43.78769444,-116.4771639
410155,2004,8,2,2,6,52,42.77901389,-113.7249056
410156,2004,8,5,5,5,40,43.08845556,-115.6149778
410157,2004,8,5,5,16,31,43.49061944,-111.3498194
410158,2004,8,20,6,22,12,43.74940556,-111.6654028
410159,2004,8,8,1,2,0,43.60065833,-116.5752833
410160,2004,8,9,2,18,13,44.01201389,-116.1594639
410161,2004,8,11,4,16,0,42.01255556,-112.2025306
410162,2004,8,11,4,1,34,43.62177778,-116.216125
410163,2004,8,15,1,2,25,43.54171389,-116.1589944
410164,2004,8,7,7,13,30,44.29271667,-111.4585333
410165,2004,8,7,7,12,18,43.97425833,-111.6282583
410166,2004,8,18,4,23,27,47.69994167,-117.0252528
410167,2004,8,17,3,20,23,48.56451389,-116.3944194
410168,2004,8,18,4,21,55,43.56871667,-116.0341528
410169,2004,8,19,5,18,20,43.61196389,-113.1605139
410170,2004,8,19,5,1,15,43.02315,-116.1844167
410171,2004,8,18,4,10,55,43.66288333,-116.4136972
410172,2004,8,25,4,16,52,43.88342778,-111.6926528
410173,2004,8,29,1,16,10,44.33536667,-116.0365556
410174,2004,8,30,2,17,53,42.72336667,-112.2237528
410175,2004,8,25,4,12,9,42.58661111,-112.1870167
410176,2004,8,15,1,14,45,43.65831389,-111.5801917
410177,2004,8,6,6,17,3,42.24775278,-116.0241444
410178,2004,9,6,2,22,4,43.89144167,-113.5627389
410179,2004,9,4,7,18,54,47.627425,-115.8989361
410180,2004,9,12,1,16,58,43.25170556,-115.5744528
